OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
0003de9a9e238f0d48dfc40f4095d15e,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
00095c53cdb2e71a45b970549092bc1d,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,unassigned
000c968ffb6528c41c26ab6515ca50f8,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Corallina_officinalis
001005a025e2aa561e78185197414159,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
001077e553a47cad19f2492a80536b6d,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,Caldilineaceae,uncultured_bacterium
0010959aea2f7eaa76e921348bcd6fe5,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,unassigned
0012faf5fb9dd909a880dbaa480e6a53,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,unassigned,unassigned
0015e939aed8d3052abc3ffea409d903,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,unassigned
0017916e06334de468052ed373b6f2d9,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,uncultured_bacterium
0017fb9d266b4274305560a688d04391,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
001fe7eb365db05f038e7ea2593882cf,Eukaryota,Vertebrata,Actinopterygii,Teleostei,Teleostei,Teleostei,unassigned
0020599d4310587a24d15052ff62a209,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula,unassigned
00209f322fff0c8437f1091d2bc71062,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Halovulum,Rhodobacteraceae_bacterium
002488a0b7da3f82eb7d12b42002b561,Bacteria,Gemmatimonadota,BD2-11_terrestrial_group,BD2-11_terrestrial_group,BD2-11_terrestrial_group,BD2-11_terrestrial_group,unassigned
0024a61b0e874bc68bbef0ec226449f8,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcystaceae,unassigned,unassigned
002596691a3508b66e0f9d0ca065934d,Unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
002e2ccdbcb2d0f06613b9fa002767fe,Bacteria,Firmicutes,Bacilli,unassigned,unassigned,unassigned,unassigned
002ecfa4548f3189805bfa0237792aba,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,UCG-005,uncultured_Clostridiales
003056f5469d94beddddc17aa54eec26,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,uncultured,uncultured_organism
003522ebe6f0bc13e1858aaf20ecd075,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,Dadabacteriales,Dadabacteriales,unassigned
003922ca5573d5a2d8fe489f62a808da,Bacteria,Cyanobacteria,Cyanobacteriia,Eurycoccales,Eurycoccales_Incertae_Sedis,Synechococcus_PCC-7336,unassigned
0040006b234eca4e8468298b8b1f4790,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,unassigned
00400c62cdd7750b74b4fe7d0e91dd86,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,Tistlia,unassigned
0043aef3b0a379a0221a96681347e4b3,Bacteria,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
0044b421dc23a114f07294e49042ec82,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,unassigned,unassigned
0048e237df4651f43e55a9a145cbcc2f,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
004daff8765835df87bf2d5bcaaae98b,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula,bacterium_WH5-6
